file_path,artist,title,stream_count,source_url,archive_item,license_url
music/low_stream/Cousin Silas - 06_Recrudescence_-_Part-6.mp3,Cousin Silas,06_Recrudescence_-_Part-6,924,https://archive.org/download/waag_rel094/06_Recrudescence_-_Part-6.mp3,https://archive.org/details/waag_rel094,http://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/Sit At My Right Hand - 02-Brazil.mp3,Sit At My Right Hand,02-Brazil,941,https://archive.org/download/TFR773-SitAtMyRightHand-TheFuture/02-Brazil.mp3,https://archive.org/details/TFR773-SitAtMyRightHand-TheFuture,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Demonic Sweaters - Demonic Sweaters - Geeky Gigs - 03 Rise And Shine (Featuring Megpoid GUMI).mp3,Demonic Sweaters,Demonic Sweaters - Geeky Gigs - 03 Rise And Shine (Featuring Megpoid GUMI),918,https://archive.org/download/DemonicSweatersGeekyGigs06GUMIDance/Demonic%20Sweaters%20-%20Geeky%20Gigs%20-%2003%20Rise%20And%20Shine%20%28Featuring%20Megpoid%20GUMI%29.mp3,https://archive.org/details/DemonicSweatersGeekyGigs06GUMIDance,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Kamin - 06-HaseimLicht.mp3,Kamin,06-HaseimLicht,869,https://archive.org/download/Kamin-CaptainFutureRock/06-HaseimLicht.mp3,https://archive.org/details/Kamin-CaptainFutureRock,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Unknown - 04 Together We Will Die Alone.mp3,Unknown,04 Together We Will Die Alone,864,https://archive.org/download/AB160TheePsionicAssembly-HypernihilistDysphoria2013/04%20Together%20We%20Will%20Die%20Alone.mp3,https://archive.org/details/AB160TheePsionicAssembly-HypernihilistDysphoria2013,http://creativecommons.org/licenses/by-nc/2.5/bg/
music/low_stream/hash-head - 05.Breaking.mp3,hash-head,05.Breaking,996,https://archive.org/download/hash-head-extrasolar-worlds/05.Breaking.mp3,https://archive.org/details/hash-head-extrasolar-worlds,http://creativecommons.org/licenses/by-sa/3.0/
music/low_stream/fst - fst_ambientimprovisations_vol2_01_vbr.mp3,fst,fst_ambientimprovisations_vol2_01_vbr,832,https://archive.org/download/frec011/fst_ambientimprovisations_vol2_01_vbr.mp3,https://archive.org/details/frec011,http://creativecommons.org/licenses/by-nc-nd/2.0/deed-music
music/low_stream/POWER NOIZE MC - 19. Working Class Protest Strike.mp3,POWER NOIZE MC,19. Working Class Protest Strike,907,https://archive.org/download/IBR_745/19.%20Working%20Class%20Protest%20Strike.mp3,https://archive.org/details/IBR_745,
music/low_stream/Stahlfabrik - 2_emision_termoionica_parte_2_dimensional.mp3,Stahlfabrik,2_emision_termoionica_parte_2_dimensional,848,https://archive.org/download/amp125/2_emision_termoionica_parte_2_dimensional.mp3,https://archive.org/details/amp125,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Crucifuck - 07Cancer.mp3,Crucifuck,07Cancer,987,https://archive.org/download/NXL046/07Cancer.mp3,https://archive.org/details/NXL046,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Ayato - 16-u_come_4_troubles.mp3,Ayato,16-u_come_4_troubles,980,https://archive.org/download/HAK33/16-u_come_4_troubles.mp3,https://archive.org/details/HAK33,http://creativecommons.org/licenses/by-nc-nd/2.0/fr/
music/low_stream/Phillip Wilkerson - 02SpeakingOfImmortality.mp3,Phillip Wilkerson,02SpeakingOfImmortality,908,https://archive.org/download/FamiliarVoices/02SpeakingOfImmortality.mp3,https://archive.org/details/FamiliarVoices,http://creativecommons.org/licenses/by-nd/3.0/
music/low_stream/ronald vonk - ms010n_1_roonan-stitched.mp3,ronald vonk,ms010n_1_roonan-stitched,991,https://archive.org/download/roonan-realtime_sessions_2005-09-01.ms010n/ms010n_1_roonan-stitched.mp3,https://archive.org/details/roonan-realtime_sessions_2005-09-01.ms010n,http://creativecommons.org/licenses/by-nc-nd/2.5/
music/low_stream/Dr. Stylus - hitthedoor_64kb.mp3,Dr. Stylus,hitthedoor_64kb,888,https://archive.org/download/d_o_r009/hitthedoor_64kb.mp3,https://archive.org/details/d_o_r009,http://creativecommons.org/licenses/by-nc-nd/2.5/
music/low_stream/Sypha Nadon - MZR046_Sypha_Nadon_Pleasant_Songs_01_You_Lost_Her.mp3,Sypha Nadon,MZR046_Sypha_Nadon_Pleasant_Songs_01_You_Lost_Her,774,https://archive.org/download/MZR046/MZR046_Sypha_Nadon_Pleasant_Songs_01_You_Lost_Her.mp3,https://archive.org/details/MZR046,http://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/The History and Civilization of the Great Black Swamp - great_black_swamp-05-dreyfusmcdryfus.mp3,The History and Civilization of the Great Black Swamp,great_black_swamp-05-dreyfusmcdryfus,804,https://archive.org/download/ia012/great_black_swamp-05-dreyfusmcdryfus.mp3,https://archive.org/details/ia012,
music/low_stream/Каловая Рвота - 10. Перемен (Кино cover).mp3,Каловая Рвота,10. Перемен (Кино cover),951,https://archive.org/download/IBR_847/10.%20%D0%9F%D0%B5%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%20%28%D0%9A%D0%B8%D0%BD%D0%BE%20cover%29.mp3,https://archive.org/details/IBR_847,
"music/low_stream/Копро-Гурман Должен Быть Довольным & Хрюсопохожие Мутанты, Родившиеся В Коробке Из-Под Стиральной Машины & Гомосексуальн - 22.mp3","Копро-Гурман Должен Быть Довольным & Хрюсопохожие Мутанты, Родившиеся В Коробке Из-Под Стиральной Машины & Гомосексуальная Пулемётная Членодолбёжка В Неокрепшие Жопы & Дырявая Вилка Должна Стать Российским Талисманом На Олимпиаде 2020 Года",22,879,https://archive.org/download/IBR_241/22.mp3,https://archive.org/details/IBR_241,
music/low_stream/Jimmy Spits - JimmySpits-LeaPsAndBounds-09-TheOtherSide_vbr.mp3,Jimmy Spits,JimmySpits-LeaPsAndBounds-09-TheOtherSide_vbr,758,https://archive.org/download/JimmySpits-LeaPsAndBounds.2008/JimmySpits-LeaPsAndBounds-09-TheOtherSide_vbr.mp3,https://archive.org/details/JimmySpits-LeaPsAndBounds.2008,http://creativecommons.org/licenses/by-nc/3.0/us/
music/low_stream/Electric Sea Spider - 11RubiksCube.mp3,Electric Sea Spider,11RubiksCube,941,https://archive.org/download/Mam093-ElectricSeaSpider-TheThief2009/11RubiksCube.mp3,https://archive.org/details/Mam093-ElectricSeaSpider-TheThief2009,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music/low_stream/Chop Chop - 05.Beheaded.mp3,Chop Chop,05.Beheaded,810,https://archive.org/download/SRmp3_050_Chop_Chop_-_Roboplegic_Wrongcock/05.Beheaded.mp3,https://archive.org/details/SRmp3_050_Chop_Chop_-_Roboplegic_Wrongcock,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Demonic Sweaters - Demonic Sweaters - Sol Lepidoptera - 12 Welcome Spring.mp3,Demonic Sweaters,Demonic Sweaters - Sol Lepidoptera - 12 Welcome Spring,762,https://archive.org/download/DemonicSweatersSolLepidoptera/Demonic%20Sweaters%20-%20Sol%20Lepidoptera%20-%2012%20Welcome%20Spring.mp3,https://archive.org/details/DemonicSweatersSolLepidoptera,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Nitrogene - (BOMAB014) 01. Nitrogene - Clear_Clear.mp3,Nitrogene,(BOMAB014) 01. Nitrogene - Clear_Clear,805,https://archive.org/download/bomab014-nitrogene-clear/%28BOMAB014%29%2001.%20Nitrogene%20-%20Clear_Clear.mp3,https://archive.org/details/bomab014-nitrogene-clear,https://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/ruir - 09-walkingwithdaemons.mp3,ruir,09-walkingwithdaemons,983,https://archive.org/download/mimi042/09-walkingwithdaemons.mp3,https://archive.org/details/mimi042,
music/low_stream/Esteban Porronett - 15.SoloEnLaCiudadconSofaPasquinelli.mp3,Esteban Porronett,15.SoloEnLaCiudadconSofaPasquinelli,893,https://archive.org/download/EstebanPorronett-CartografiasParaMutantesQueAtraviesanLosCielos/15.SoloEnLaCiudadconSofaPasquinelli.mp3,https://archive.org/details/EstebanPorronett-CartografiasParaMutantesQueAtraviesanLosCielos,
music/low_stream/Susan Matthews - 01-The-Road-From-Veliko-part-one.mp3,Susan Matthews,01-The-Road-From-Veliko-part-one,916,https://archive.org/download/PILOTELEVEN_08/01-The-Road-From-Veliko-part-one.mp3,https://archive.org/details/PILOTELEVEN_08,http://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/Lucas Darklord - 2020_06_04_21_51_19-26.32bpmStereoRough.mp3,Lucas Darklord,2020_06_04_21_51_19-26.32bpmStereoRough,899,https://archive.org/download/2020-06-04_part-1/2020_06_04_21_51_19-26.32bpmStereoRough.mp3,https://archive.org/details/2020-06-04_part-1,https://creativecommons.org/licenses/by-nc-sa/4.0/
music/low_stream/Various New England Artists - 98_bonustrack_theAberration-LiquidCourage.mp3,Various New England Artists,98_bonustrack_theAberration-LiquidCourage,896,https://archive.org/download/MC004/98_bonustrack_theAberration-LiquidCourage.mp3,https://archive.org/details/MC004,
music/low_stream/GAAD - 05Gaad-ShootForShit_64kb.mp3,GAAD,05Gaad-ShootForShit_64kb,960,https://archive.org/download/TFN096/05Gaad-ShootForShit_64kb.mp3,https://archive.org/details/TFN096,http://creativecommons.org/licenses/by-sa/3.0/us/
music/low_stream/Øe - 01.Oe-DriftI.mp3,Øe,01.Oe-DriftI,824,https://archive.org/download/isor005likeACometThatDriftInWithTheTide/01.Oe-DriftI.mp3,https://archive.org/details/isor005likeACometThatDriftInWithTheTide,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/daniel_nose - 04. Blockhead (feat. Cuzzin Coo).mp3,daniel_nose,04. Blockhead (feat. Cuzzin Coo),855,https://archive.org/download/MNMN474/04.%20Blockhead%20%28feat.%20Cuzzin%20Coo%29.mp3,https://archive.org/details/MNMN474,http://creativecommons.org/licenses/by-nc-nd/3.0/
