file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/Capital Cities - Safe And Sound.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Peter And Gordon - Sunday For Tea.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
"music/Marilyn McCoo & Billy Davis, Jr. - Look What You've Done To My Heart.mp3",charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Graham Central Station - It's Alright.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Sharissa - Any Other Night.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/The Masqueraders - I Ain't Got To Love Nobody Else.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Johnny Preston - Feel So Fine.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Kanye West - Jonah.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Switchfoot - Meant To Live.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Little Caesar And The Consuls - (My Girl) Sloopy.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Rod Stewart - Somebody Special.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/707 - I Could Be Good For You.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Dick Dale and The Del-Tones - Let's Go Trippin'.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Drake - Keep The Family Close.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/The Rolling Stones - She Was Hot.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
"music/Ray, Goodman & Brown - Special Lady.mp3",charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Elvis Costello & The Atrractions - The Only Flame In Town.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Jay & The Americans - Crying.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Glee Cast - Somebody To Love.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/EAGLES - THE LONG RUN.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Dan + Shay - Take Me Home For Christmas.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/Drake - Headlines.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/The Byrds - Mr. Tambourine Man.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/The Persuaders - Best Thing That Ever Happened To Me.mp3,charted,True,721196,30.0,48000.0,2.0,192.31893333333332,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
