archive_item,artist,file_path,license_url,source_url,stream_count,title
https://archive.org/details/JeromeAndSylvie-VacinarEp2007,Luis Iturra,music\low_stream\Luis Iturra - 02_dos.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/JeromeAndSylvie-VacinarEp2007/02_dos.mp3,773,02_dos
https://archive.org/details/AtTheDethCampsSideA,Brain,music\low_stream\Brain - 04SlipResistantShoes.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://archive.org/download/AtTheDethCampsSideA/04SlipResistantShoes.mp3,808,04SlipResistantShoes
https://archive.org/details/wolfsdinner,Missmyheartbeats,music\low_stream\Missmyheartbeats - half-built.mp3,http://creativecommons.org/licenses/by-nc-sa/2.0/uk/,https://archive.org/download/wolfsdinner/half-built.mp3,821,half-built
https://archive.org/details/TracksForDisquietJunto,Michel Banabila,music\low_stream\Michel Banabila - 10 25 Seconds Before The Film Begins.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/TracksForDisquietJunto/10%2025%20Seconds%20Before%20The%20Film%20Begins.mp3,898,10 25 Seconds Before The Film Begins
https://archive.org/details/mi120_tmm_wild_flower_way,Table Music Meeting,music\low_stream\Table Music Meeting - 01_wild_flower_way_vbr.mp3,,https://archive.org/download/mi120_tmm_wild_flower_way/01_wild_flower_way_vbr.mp3,826,01_wild_flower_way_vbr
https://archive.org/details/kreislauf175,Record Of Tides,music\low_stream\Record Of Tides - 02_kreislauf175.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/kreislauf175/02_kreislauf175.mp3,778,02_kreislauf175
https://archive.org/details/IBR_1402,Хуиная Голова,music\low_stream\Хуиная Голова - 68. Свой член.mp3,,https://archive.org/download/IBR_1402/68.%20%D0%A1%D0%B2%D0%BE%D0%B9%20%D1%87%D0%BB%D0%B5%D0%BD.mp3,810,68. Свой член
https://archive.org/details/PXRec051EPPicnicboyDualitaetMP3,Picnicboy,music\low_stream\Picnicboy - 3.Picnicboy - Pictures of the Past.mp3,http://creativecommons.org/licenses/by-nc/4.0/,https://archive.org/download/PXRec051EPPicnicboyDualitaetMP3/3.Picnicboy%20-%20Pictures%20of%20the%20Past.mp3,839,3.Picnicboy - Pictures of the Past
https://archive.org/details/PhobiaphiliaEp,Buffalo Buffalo Buffalo,music\low_stream\Buffalo Buffalo Buffalo - 04-AllInThisTogetherNow_vbr.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,https://archive.org/download/PhobiaphiliaEp/04-AllInThisTogetherNow_vbr.mp3,976,04-AllInThisTogetherNow_vbr
https://archive.org/details/TheStuttersliveatPurplePop,The Stutters,music\low_stream\The Stutters - Stutters_02.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://archive.org/download/TheStuttersliveatPurplePop/Stutters_02.mp3,768,Stutters_02
https://archive.org/details/MZR031,James Champagne,music\low_stream\James Champagne - MZR031_Sypha_Nadon_Decadence_12_Stop_It.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/MZR031/MZR031_Sypha_Nadon_Decadence_12_Stop_It.mp3,875,MZR031_Sypha_Nadon_Decadence_12_Stop_It
https://archive.org/details/PRO-004,Léon Spek,music\low_stream\Léon Spek - 02-LeonSpek-Tokamak.mp3,,https://archive.org/download/PRO-004/02-LeonSpek-Tokamak.mp3,828,02-LeonSpek-Tokamak
https://archive.org/details/snmth187,Senmuth,"music\low_stream\Senmuth - 02_-_Sekhemkhet,_Powerful_Of_Body.mp3",https://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/snmth187/02_-_Sekhemkhet%2C_Powerful_Of_Body.mp3,788,"02_-_Sekhemkhet,_Powerful_Of_Body"
https://archive.org/details/EGAMIREC025,Julious Marvesol,music\low_stream\Julious Marvesol - 07_-_Julious_Marvesol_-_Texturas_en_3D.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/EGAMIREC025/07_-_Julious_Marvesol_-_Texturas_en_3D.mp3,810,07_-_Julious_Marvesol_-_Texturas_en_3D
https://archive.org/details/EugeneRSpeciale,Rodent Tapes 2015-001 (Various Artists),music\low_stream\Rodent Tapes 2015-001 (Various Artists) - 08 - {-~BMSCMI~{- -Berrymead- -}~Saints Come Marching In~-.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/EugeneRSpeciale/08%20-%20%7B-~BMSCMI~%7B-%20-Berrymead-%20-%7D~Saints%20Come%20Marching%20In~-.mp3,849,08 - {-~BMSCMI~{- -Berrymead- -}~Saints Come Marching In~-
https://archive.org/details/SEAM0118,Buddhist on Fire,music\low_stream\Buddhist on Fire - Track_40.mp3,,https://archive.org/download/SEAM0118/Track_40.mp3,959,Track_40
https://archive.org/details/DADA082,N-FX,music\low_stream\N-FX - NFX05Phosphinous.mp3,http://creativecommons.org/licenses/by-nc/3.0/,https://archive.org/download/DADA082/NFX05Phosphinous.mp3,992,NFX05Phosphinous
https://archive.org/details/BrainSoup,Drugpigs,music\low_stream\Drugpigs - BanjoThing.mp3,http://creativecommons.org/licenses/by/2.0/uk/,https://archive.org/download/BrainSoup/BanjoThing.mp3,842,BanjoThing
https://archive.org/details/Mam093-ElectricSeaSpider-TheThief2009,Electric Sea Spider,music\low_stream\Electric Sea Spider - 01RicosTheme_vbr.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,https://archive.org/download/Mam093-ElectricSeaSpider-TheThief2009/01RicosTheme_vbr.mp3,941,01RicosTheme_vbr
