archive_item,artist,file_path,license_url,source_url,stream_count,title
https://archive.org/details/mimi042,ruir,music\low_stream\ruir - 09-walkingwithdaemons.mp3,,https://archive.org/download/mimi042/09-walkingwithdaemons.mp3,983,09-walkingwithdaemons
https://archive.org/details/NNCompVol7,Various Artists,music\low_stream\Various Artists - 01. Undertude - Claude Charles.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/NNCompVol7/01.%20Undertude%20-%20Claude%20Charles.mp3,901,01. Undertude - Claude Charles
https://archive.org/details/par015ChristianMarchi-LaCasaVentosajune52014,Parafonica Netlabel,music\low_stream\Parafonica Netlabel - 02._PAR015_02_-_Christian_Marchi_-_Alla_citt_blu_2014.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/par015ChristianMarchi-LaCasaVentosajune52014/02._PAR015_02_-_Christian_Marchi_-_Alla_citt_blu_2014.mp3,785,02._PAR015_02_-_Christian_Marchi_-_Alla_citt_blu_2014
https://archive.org/details/RadioFunkWelle,Salon Bruit,music\low_stream\Salon Bruit - 2008-07-24-0000-FunkwelleFM-Radioarchive-01_vbr.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/RadioFunkWelle/2008-07-24-0000-FunkwelleFM-Radioarchive-01_vbr.mp3,787,2008-07-24-0000-FunkwelleFM-Radioarchive-01_vbr
https://archive.org/details/Music_for_Alien_Parties_Studio112,Studio112,music\low_stream\Studio112 - Studio112 - Music for Alien Parties - 01 How to Produce an UFO in Laboratory.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://archive.org/download/Music_for_Alien_Parties_Studio112/Studio112%20-%20Music%20for%20Alien%20Parties%20-%2001%20How%20to%20Produce%20an%20UFO%20in%20Laboratory.mp3,831,Studio112 - Music for Alien Parties - 01 How to Produce an UFO in Laboratory
https://archive.org/details/GetDestroyed-SelfTitled7remastered,Get Destroyed,music\low_stream\Get Destroyed - 03Fine.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/GetDestroyed-SelfTitled7remastered/03Fine.mp3,945,03Fine
https://archive.org/details/hash-head-extrasolar-worlds,hash-head,music\low_stream\hash-head - 07.The Ninth Moon.mp3,http://creativecommons.org/licenses/by-sa/3.0/,https://archive.org/download/hash-head-extrasolar-worlds/07.The%20Ninth%20Moon.mp3,996,07.The Ninth Moon
https://archive.org/details/afm135_lovegrenade_st,Lovegrenade,music\low_stream\Lovegrenade - 05_-_lovegrenade_-_wakeoff_song.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/afm135_lovegrenade_st/05_-_lovegrenade_-_wakeoff_song.mp3,822,05_-_lovegrenade_-_wakeoff_song
https://archive.org/details/hnr016,Life Eternal,music\low_stream\Life Eternal - 9_Illa_Tidandi_Burzum.mp3,http://creativecommons.org/licenses/by-nd/3.0/,https://archive.org/download/hnr016/9_Illa_Tidandi_Burzum.mp3,942,9_Illa_Tidandi_Burzum
https://archive.org/details/SRmp3_050_Chop_Chop_-_Roboplegic_Wrongcock,Chop Chop,music\low_stream\Chop Chop - 05.Beheaded.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/SRmp3_050_Chop_Chop_-_Roboplegic_Wrongcock/05.Beheaded.mp3,810,05.Beheaded
